symbol,address,decimals
DUSD,DUSDt4AeLZHWYmcXnVGYdgAzjtzU5mXUVnTMdnSzAttM,6
PYTHIA,CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,6
ZEREBRO,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,6
HOSICO,9wK8yN6iz1ie5kEJkvZCTxyN1x5sTdNfx8yeMY8Ebonk,6
VINE,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,6
WOJAK,6bn6rKWbTRAQwizwqEfcmpAtoAMnqzfG7F8DYMK5reYn,8
ARC,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,6
AVA,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,6
JELLYJELLY,FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,6
USDUC,CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,6
MASHA,mae8vJGf8Wju8Ron1oDTQVaTGGBpcpWDwoRQJALMMf2,6
REZ,3DK98MXPz8TRuim7rfQnebSLpA7VSoc79Bgiee1m4Zw5,9
KOKOK,5HkhVG2bSb5PGjhX5QHm9urUquD7tx5eAau5Fonq78zc,9
DAO,85aM5XJhdDeUw4MbGKM56zmWnsRyh76zUVut97uPjiCg,8
MCDULL,Buoj8HCZMnLRwzDmjzaswhkVhLZD58PG4pZ7rnYp6pCr,3
ETHDYDX,4Hx6Bj56eGyw8EJrrheM6LBQAvVYRikYCWsALeTrwyRU,8
GST,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,9
UFD,eL5fUxj2J4CiQsmW85k5FG9DvuQjjUoBHoQBi2Kpump,6
FARTBOY,y1AZt42vceCmStjW4zetK3VoNarC1VxJ5iDjpiupump,9
DEGO,BU4eP1vCR99amXKsMXhctX8YpqUa7wbULQ26XaQbazkS,8
BERT,HgBRWfYxEfvPhtqkaeymCQtHCrKE46qQ43pKe8HCpump,6
A47,CN162nCPpq3DxPCyKLbAvEJeB1aCxsnVTEG4ZU8vpump,6
J,Jambjx1oJoZNBZiqbiF9TqgatEZPdyfvYa9WVsKNzUh,9
YETI,FuyeX8cpctBwQVDFYgKxYh1JgiXCkK9g4RBVCXm4pump,6
DOOD,DvjbEsdca43oQcw2h3HW1CT7N3x5vRcr3QrvTUHnXvgV,9
HOUSE,DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,6
$PURPE,HBoNJ5v8g71s2boRivrHnfSB5MVPLDHHyVjruPfhGkvL,1
KENDU,2nnrviYJRLcf2bXAxpKTRXzccoDbwaP4vzuGUG75Jo45,8
SIGMA,5SVG3T9CNQsm2kEwzbRq6hASqh1oGfjqTtLXYUibpump,6
ZUSD,FrBfWJ4qE5sCzKm3k3JaAtqZcXUh4LvJygDeketsrsH4,6
VERSE,vRseBFqTy9QLmmo5qGiwo74AVpdqqMTnxPqWoWMpump,6
GHX,Cy52Ts2GwSzdkhCihB5i1Vu6sApzgqktNNFyHbsdgwm7,8
SWARMS,74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump,6
RETARDIO,6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,6
AGIALPHA,tWKHzXd5PRmxTF5cMfJkm2Ua3TcjwNNoSRUqx6Apump,6
YAFA,YAFAJvjUv9MVAKcTE7Y8ouo45QNKVK6fCMzdxt2tjPs,6
PORTAL,FMQjDvT1GztVxdvYgMBEde4L54fftFGx9m5GmbqeJGM5,9
TROLL,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,6
LUNA,9se6kma7LeGcQWyRBNcYzyxZPE3r9t9qWZ8SnjnN3jJ7,8
MYRO,HhJpBhRRn4g56VsyLuT8DL5Bv31HkXqsrahTTUCZeZg4,9
EURCV,DghpMkatCiUsofbTmid3M3kAbDTPqDwKiYHnudXeGG52,2
NEURAL,BNC5eVJZixJFykygncDuUK5TpRBsWZuT6eSA99YNh2cZ,9
DJI6930,DQnkBM4eYYMnVE8Qy2K3BB7uts1fh2EwBVktEz6jpump,6
KIBSHI,BxBkTCHsrcYChcwB459CAGPX9x4fWSVnmzqh5efgUN1R,8
ATR,ATRLuHph8dxnPny4WSNW7fxkhbeivBrtWbY6BfB4xpLj,9
PIPPIN,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,6
PUMP,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,6
RBNT,2GBVt2ENvbHepuJMWYTPkkfpWUabAhsaXToYw8UphxS3,9
KDT,CEY7Xa21gE8fh3ksS43STCftHHJNnSE2seF1Vscdsmth,6
BLOCK,NFTUkR4u7wKxy9QLaX2TGvd9oZSWoMo4jqSJqdMb7Nk,6
ALEPH,3UCMiSnkcnkPE1pgQ5ggPCBv6dXgVUy16TmMUe1WpG9x,8
DIMO,ERQXNXuWfpaGMh9Cs19zxcQTtzCVNZerdKXJ7BQKXVhd,18
YU,YUYAiJo8KVbnc6Fb6h3MnH2VGND4uGWDH4iLnw7DLEu,6
ES,BqPqrrQuoQXFGGEAEMnPmDgZ6RWQCajWnY3V6Yp4DZWP,6
STARTUP,97PVGU2DzFqsAWaYU17ZBqGvQFmkqtdMywYBNPAfy8vy,9
CAKE,4qQeZ5LwSz6HuupUu8jCtgXyW1mYQcNbFAW1sWZp89HL,9
LION,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,9
GP,31k88G5Mq7ptbRDf3AM13HAq6wRQHXHikR8hik7wPygk,9
AIXBT,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,8
MORI,8ZHE4ow1a2jjxuoMfyExuNamQNALv5ekZhsBn5nMDf5e,9
AITECH,FUW4poh6s7uychceF8u1mo7NS65vzjX5vmS7Yi7GYQnz,9
ASP,DJ7vji2BU7RjNgktPAKN4L42CiXTFHEt4Eeeyr5FiTmy,9
GUN,3jUf2RTyXp867piSB2dt8uUcNiLDW58asjGtXkRAkBbe,9
MOBY,Cy1GS2FqefgaMbi45UunrUzin1rfEmTUYnomddzBpump,6
PUPS,2oGLxYuNBJRcepT1mEV6KnETaLD7Bf6qq3CM6skasBfe,9
